company,field,before,after
LogicLadder,company_address,"Unitech Cyber Park; Sector 39; Gurugram,",Unitech Cyber Park; Sector 39; Gurugram
Logistics Operating,growth_metrics,-9% | -6% | 6 % | -6% | 6 % | -17% | 16 % | 93% | 480%,-9% | -6% | 6 % | -17% | 16 % | 93% | 480%
Logiwa,description,Logiwa is warehouse management and fulfillment__. software company specializing in Chicago logiwa,is warehouse management and fulfillment__. software company specializing in Chicago logiwa
Logixboard,description,Logixboard is a logistics technology provider that offers a customer experience platform_. logixboard com Seattle logixboard,is a logistics technology provider that offers a customer experience platform_. logixboard com Seattle logixboard
Logixboard,company_address,"1100 NE Campus Pkwy; Suite 200; Seattle, Washington 98105,","1100 NE Campus Pkwy; Suite 200; Seattle, Washington 98105"
Logixboard,growth_metrics,~2% | ~2% | 2% | -41% | -60% | -52% | 27% | 206% | 4%,~2% | 2% | -41% | -60% | -52% | 27% | 206% | 4%
LoyaltyLion,description,LoyaltyLion is offers software solutions to enhance: loyalty program provider that Ioyaltylion com London Ioyaltylion,is offers software solutions to enhance: loyalty program provider that Ioyaltylion com London Ioyaltylion
Makersite,description,Makersite is in product lifecycle intelligence and_ software company specializing Stuttgart makersitede,is in product lifecycle intelligence and_ software company specializing Stuttgart makersitede
Makersite,growth_metrics,13% | 32% | 64% | 154% | 431% | 963% | 963% | -20%,13% | 32% | 64% | 154% | 431% | 963% | -20%
Mappedin,description,Mappedin Inc_ is a mapping software provider specializing in indoor mapping and navigatio_. mappedin com FI Canada Ontario Waterloo mappedin,Inc_ is a mapping software provider specializing in indoor mapping and navigatio_. mappedin com FI Canada Ontario Waterloo mappedin
Mappedin,growth_metrics,~1% | 2% | ~1% | -7%6 | 28% | 48% | 86 %,~1% | 2% | -7% | 28% | 48% | 86 %
MarketUP,description,MarketUP is that offers comprehensive ERP solution_. business management platform marketup brasil,is that offers comprehensive ERP solution_. business management platform marketup brasil
MarketUP,company_address,"Avenida Paulista,854; 170 andar; Sao Paulo, Sao Paulo 01310913,","Avenida Paulista,854; 170 andar; Sao Paulo, Sao Paulo 01310913"
mater,growth_metrics,~5% | -7%6 | -7% | -16% | -16 % | 4% | 50% | 410%,~5% | -7% | -16% | -16 % | 4% | 50% | 410%
Meal Ticket,description,Meal Ticket is a software company that provides specialized solutions for foodservi__. mealticket com Boise meal-ticket,is a software company that provides specialized solutions for foodservi__. mealticket com Boise meal-ticket
Meal Ticket,growth_metrics,"3% | 10% | 10% | 6% | 51% | 127% | ""156%",3% | 10% | 6% | 51% | 127% | 156%
melonn,description,Melonn is = fulfillment services for logistics company specializing in ~commerce and:_ melonn com Colombia Antioquia Puerto Nare,is = fulfillment services for logistics company specializing in ~commerce and:_ melonn com Colombia Antioquia Puerto Nare
MI2107lz,growth_metrics,16% | 31% | 61% | 162% | 320% | 320%,16% | 31% | 61% | 162% | 320%
Naologic,description,Naologic is Naologic / Al-enabled no-code platform for Al-enabled no-code platform software company that offers an software company that offers for building_ building_. naologic com San Francisco lologic Iologic,is Naologic / Al-enabled no-code platform for Al-enabled no-code platform software company that offers an software company that offers for building_ building_. naologic com San Francisco lologic Iologic
Naologic,growth_metrics,-9% | 9% | -16% | -16 % | 11% | 42% | 233% | 233%,-9% | 9% | -16% | -16 % | 11% | 42% | 233%
Napta,description,Napta is a staffing solution provider that offers comprehensive platform for staffing and_. pickyourskills,is a staffing solution provider that offers comprehensive platform for staffing and_. pickyourskills
NextBillion.a,description,specializing in logistics and route optimizati_ NextBillion.ai is a software company nextbillion.ai extbillion-ai,specializing in logistics and route optimizati_ is a software company extbillion-ai
NextBillion.a,growth_metrics,-10% | -10% | -16% | -23% | -13% | 23% | 97% | 25%,-10% | -16% | -23% | -13% | 23% | 97% | 25%
Nyshex,description,NYSHEX is a logistics technology company that provides digital infrastructure for global__. nyshex com nW-york-shipping- exchange-nyshex-,is a logistics technology company that provides digital infrastructure for global__. nyshex com nW-york-shipping- exchange-nyshex-
Omnea,growth_metrics,"48% | 71% | 154% | 456% | ,800% | 13%",48% | 71% | 154% | 456% | 800% | 13%
Onebrief,description,Onebrief is company that provides innovative tools for_ military planning software onebrief com Honolulu ollebrief,is company that provides innovative tools for_ military planning software onebrief com Honolulu ollebrief
Onebrief,growth_metrics,"16 % | 46% | 129% | 506% | 1,005% | 2,250% | 3,660%",16 % | 46% | 129% | 506% | 005% | 250% | 660%
ONES.com,description,company that offers company that offers a comprehensive__ ONES.com is = software development compre ensive ones com ones.com San Jose ~srart-ones srnart-ones,company that offers company that offers a comprehensive__ is = software development compre ensive ones com San Jose ~srart-ones srnart-ones
ONES.com,growth_metrics,~0% | -0% | 5% | 5 % | 4% | 4% | 108 % | 108%,~0% | -0% | 5% | 5 % | 4% | 108 % | 108%
Onfleet,growth_metrics,5% | 2% | 7%/ | 7% | -12% | ~25% | 6% | 137% | -23%,5% | 2% | 7% | -12% | ~25% | 6% | 137% | -23%
Optilogic Inc.,growth_metrics,"22% | 38 % | 67% | 159% | 284% | 746% | 3,075 % | 42%",22% | 38 % | 67% | 159% | 284% | 746% | 075 % | 42%
OrderStorm Inc,company,OrderStorm Inc:,OrderStorm Inc
Oro Inc,company,Oro Inc:,Oro Inc
Oro Inc,description,Oro Inc is eCommerce and CRM solutions. They offer _. software company specializing in oroinc com (USA) olo-inc-,is eCommerce and CRM solutions. They offer _. software company specializing in oroinc com (USA) olo-inc-
Oro Inc,growth_metrics,"""15% | 34% | 44%",15% | 34% | 44%
Outbuild,description,Outbuild is specializes software company that construction scheduling and:_ San Francisco pl oplannerconstru__.,is specializes software company that construction scheduling and:_ San Francisco pl oplannerconstru__.
Outbuild,growth_metrics,9% | 27% | 84% | 84% | 7%,9% | 27% | 84% | 7%
Pando,description,Pando is a technology company specializing in Al-powered supply chain management _ Chicago lirnited piindocorp-private - piindocorp-private-,is a technology company specializing in Al-powered supply chain management _ Chicago lirnited piindocorp-private - piindocorp-private-
paretos,growth_metrics,3% | 23% | 52% | 52% | 70% | 431%,3% | 23% | 52% | 70% | 431%
Partful,description,Partful is a software company that specializes in providing 3D exploded parts catalogs and_ (UK) stimsonvt,is a software company that specializes in providing 3D exploded parts catalogs and_ (UK) stimsonvt
Pepper,description,Pepper i provides Pepper is = provides eCommerce solutions for food__ eCommerce technology company that solutions for food . usepepper com fepepper epepper,i provides Pepper is = provides eCommerce solutions for food__ eCommerce technology company that solutions for food . usepepper com fepepper epepper
Petpooja,company_address,"3rd Floor; Gopal Palace; Nehrunagar; Ahmedabad,",3rd Floor; Gopal Palace; Nehrunagar; Ahmedabad
Pico,description,Pico MES is a technology solutions company that specializes in digital manufacturing_ picomes com San Francisco picomes,MES is a technology solutions company that specializes in digital manufacturing_ picomes com San Francisco picomes
Pietra,description,Pietra is an e-commerce platform for entrepreneurs__ technology company that provides (USA) pietra-marketplace,is an e-commerce platform for entrepreneurs__ technology company that provides (USA) pietra-marketplace
Pietra,growth_metrics,"3% | 8 % | 8% | 13% | ~47% | 265% | 1,077% | 960%",3% | 8 % | 8% | 13% | ~47% | 265% | 077% | 960%
Pixibo,description,Pixibo is a technology company specializing in size and fit solutions for the fashion retail _ pixibo,is a technology company specializing in size and fit solutions for the fashion retail _ pixibo
plancraft,growth_metrics,"18 % | 42% | 141% | 235% | 642% | 1,055% | -94%",18 % | 42% | 141% | 235% | 642% | 055% | -94%
Plandek,description,Plandek is specializes in providing engineering-_. software company that plandek com London plandek,is specializes in providing engineering-_. software company that plandek com London plandek
Planet FWD,description,Planet FWD is a consulting firm specializing in decarbonization solutions for businesses in__. (USA) planet-fwd,is a consulting firm specializing in decarbonization solutions for businesses in__. (USA) planet-fwd
Planet FWD,growth_metrics,"2% | -7% | ""7% | 7% | 5% | 40% | 216 % | 850% | -30%",2% | -7% | 7% | 5% | 40% | 216 % | 850% | -30%
PlanRadar,description,PlanRadar is a software company that provides digital platform for construction__. planradar,is a software company that provides digital platform for construction__. planradar
PlanRadar,growth_metrics,1% | 4% | 1% | 35% | 155% | 373% | 2%,1% | 4% | 35% | 155% | 373% | 2%
PlatformE,growth_metrics,~5% | 5% | ~15% | -15% | 5% | 4% | 11% | 31%,~5% | 5% | ~15% | -15% | 4% | 11% | 31%
Praktis,description,Praktis is a supply chain solutions provider that specializes in manufacturing and logisti__ plakasa-triputra - stilusi,is a supply chain solutions provider that specializes in manufacturing and logisti__ plakasa-triputra - stilusi
Praktis,growth_metrics,"8 % | -10% | 1% | 9% | 165% | 600% | 1,400% | 19%",8 % | -10% | 1% | 9% | 165% | 600% | 400% | 19%
Prewave,growth_metrics,"33% | 7% | 26% | 119% | 438% | 1,085 % | 2,533% | 72%",33% | 7% | 26% | 119% | 438% | 085 % | 533% | 72%
Proggio,description,Proggio is provider that offers project management software comprehensive platfor _ ploggio,is provider that offers project management software comprehensive platfor _ ploggio
Proggio,growth_metrics,-11% | -15% | -31% | 31% | -27% | -11% | 10% | 88 % | 19%,-11% | -15% | -31% | 31% | -27% | 10% | 88 % | 19%
ProjectManager,description,ProjectManager F ~softwa provider that offers project management comprehensi._ projectmanager:com Austin plojectmanager-com,F ~softwa provider that offers project management comprehensi._ projectmanager:com Austin plojectmanager-com
ProjectManager,growth_metrics,3% | 11% | 11% | 26% | 40% | 76% | -12%,3% | 11% | 26% | 40% | 76% | -12%
Proton.ai,growth_metrics,6 % | 12% | 34% | 44% | 6 % | 72% | 313% | 8 %,6 % | 12% | 34% | 44% | 72% | 313% | 8 %
Proximity,company_address,"Runway East, 52 Tabernacle Street; London, England ECZ A4NJ,","Runway East, 52 Tabernacle Street; London, England ECZ A4NJ"
Proximity,growth_metrics,"-7%6 | ~7% | -9% | ~9% | 9% | -13% | ~20% | ""7% | -7% | 44% | 44% | -6%",-7% | ~7% | -9% | ~9% | 9% | -13% | ~20% | 7% | 44% | -6%
Rebuy Engine,growth_metrics,"0% | 1% | 2% | 16% | 134% | 1,120% | 6,000% | -13%",0% | 1% | 2% | 16% | 134% | 120% | 000% | -13%
Regrello,description,Regrello is = supply chain and operations management__. software company special lizing San Francisco regrello,is = supply chain and operations management__. software company special lizing San Francisco regrello
REM People,description,Rem People is Rem People is a retail analytics company based in Istanbul and__ retail technology and technology and rempeople com Turkey istanbul Istanbul rem-people,is Rem People is a retail analytics company based in Istanbul and__ retail technology and technology and rempeople com Turkey istanbul Istanbul rem-people
REM People,growth_metrics,3% | 3% | 8 % | -8% | -8 % | 6% | 6 % | 55% | 77% | 196% | 196 %,3% | 8 % | -8% | -8 % | 6% | 6 % | 55% | 77% | 196% | 196 %
Remarcable,growth_metrics,"26% | 51% | 82% | 194% | 562% | 2,550%",26% | 51% | 82% | 194% | 562% | 550%
Replenium,growth_metrics,8% | -21% | 21% | ~21% | 21% | 45% | ~54% | -56 % | -35% | -18 %,8% | -21% | 21% | ~21% | 45% | ~54% | -56 % | -35% | -18 %
Replica,description,Replica is provides tools and datasets for transportatio__ data analytics company that replicahq com Leawood replicacities,is provides tools and datasets for transportatio__ data analytics company that replicahq com Leawood replicacities
Replica,growth_metrics,41% | F1% | -1% | -8% | -8 % | -21% | -41% | -10% | 88 % | -17%,41% | 1% | -1% | -8% | -8 % | -21% | -41% | -10% | 88 % | -17%
Rewaa,growth_metrics,"-5% | ~7% | 7% | 15% | 98% | 295% | 1,058% | 2,059% | 2%",-5% | ~7% | 7% | 15% | 98% | 295% | 058% | 059% | 2%
Rhim Ewrrtra&,headcount,"""201-500",
Rundoo,description,Rundoo is point-of-sale solutions tailored for paint and_ software company that provides getrundoo com Redwood City rndoo,is point-of-sale solutions tailored for paint and_ software company that provides getrundoo com Redwood City rndoo
Rundoo,growth_metrics,"15% | 22% | 144% | 193% | 340% | 2,100% | 41%",15% | 22% | 144% | 193% | 340% | 100% | 41%
Safesite,description,Safesite is a safety management software provider that offers a comprehensive platfor__ safesitehq com (USA) saifesite,is a safety management software provider that offers a comprehensive platfor__ safesitehq com (USA) saifesite
Sales Layer,description,Sales Layer = specializes in Product Information. software company that saleslayer com Valencia ~seiles-layer,= specializes in Product Information. software company that saleslayer com Valencia ~seiles-layer
Sales Layer,company_address,"Luz; Planta 82; Valencia,",Luz; Planta 82; Valencia
Sales Layer,growth_metrics,2% | 2% | 4% | 16 % | 12% | 76% | 185 % | -26%,2% | 4% | 16 % | 12% | 76% | 185 % | -26%
Saltmine,description,"Saltmine is - that integrates data, people, and processes workplace optimization platform San Francisco Itmine]","is - that integrates data, people, and processes workplace optimization platform San Francisco Itmine]"
Scurri,description,Scurri is a delivery management software Scurri is provider that offers solutions Iike Scurri__. provider that offers solutions like Scurri _. delivery management software ~scurri com scurri com Wexford scurri ~scurri,is a delivery management software Scurri is provider that offers solutions Iike Scurri__. provider that offers solutions like Scurri _. delivery management software ~scurri com scurri com Wexford scurri ~scurri
Scurri,growth_metrics,~1% | ~4% | -4% | 4% | ~1% | -1% | 25% | 25% | 42% | 76% | 76 % | 33%,~1% | ~4% | -4% | 4% | -1% | 25% | 42% | 76% | 76 % | 33%
SELLinALL,company_address,"ebar Rd; Az@payalebar; Singapore, 409015,","ebar Rd; Az@payalebar; Singapore, 409015"
SENRTJRRA,company,SENRTJRRA],SENRTJRRA
SENRTJRRA,growth_metrics,3% | 3% | -10%,3% | -10%
Sera Systems,description,Sera Systems Inc is a software company that provides field service management solution_ (USA) ~serviceshiftsoftware,Inc is a software company that provides field service management solution_ (USA) ~serviceshiftsoftware
Shipper,description,Shipper is a logistics company that provides integrated ~commerce solutions shipperid shipper-indonesia,is a logistics company that provides integrated ~commerce solutions shipperid shipper-indonesia
Shippit,description,Shippit i provides multi-carrier shipping software and_ logistics technology company that shippit com shippit,i provides multi-carrier shipping software and_ logistics technology company that shippit com shippit
Shippit,growth_metrics,4% | 3% | ~2%/ | 2% | -15% | ~7% | 21% | 117% | -6 %,4% | 3% | ~2% | 2% | -15% | ~7% | 21% | 117% | -6 %
ShippyPro,description,ShippyPro is a shipping software provider that offers solutions for commerce businesses . shippypro com shippypro,is a shipping software provider that offers solutions for commerce businesses . shippypro com shippypro
ShippyPro,growth_metrics,-4% | -8% | -4% | 4% | -14% | I1% | 64% | 245% | 6%,-4% | -8% | 4% | -14% | 1% | 64% | 245% | 6%
Shipwell,description,Shipwell is a specializing in transportation management _ Shipwell is a logistics technology provider specializing in transportation management_. logistics technology provider shipwell com Austin lipwell hipwell,is a specializing in transportation management _ Shipwell is a logistics technology provider specializing in transportation management_. logistics technology provider shipwell com Austin lipwell hipwell
Shop Circle,description,Shop Circle is e-commerce software solutions: ecommerce software solutions SaaS company specializing in It offers = offers a . London stiop-circle shiop-circle,is e-commerce software solutions: ecommerce software solutions SaaS company specializing in It offers = offers a . London stiop-circle shiop-circle
Shop Circle,growth_metrics,"4% | 6 % | 6% | 32% | 310% | 505% | 12,000% | 4%",4% | 6 % | 6% | 32% | 310% | 505% | 000%
SideChef,description,"SideChef is comprehensive range of recipes, meal__ cooking platform that offers a sidechef com (USA) si Jechef","is comprehensive range of recipes, meal__ cooking platform that offers a sidechef com (USA) si Jechef"
Sindabad com,company_address,"Khilkhet; Dhaka 1229; Dhaka,",Khilkhet; Dhaka 1229; Dhaka
Sindabad com,growth_metrics,41% | ~1% | -1% | 41% | -1% | 1% | -0% | -12% | 27% | 60% | -4% | 4%,41% | ~1% | -1% | 1% | -0% | -12% | 27% | 60% | -4% | 4%
Smacc,description,SMACC is a software company that specializes in providing enterprise resource__ smacc com Saudi Arabia Riyadh Riyadh srnaccsoftware,is a software company that specializes in providing enterprise resource__ smacc com Saudi Arabia Riyadh Riyadh srnaccsoftware
Smacc,company_address,"Eastern Ring Road, Exit 14, Al Riyan Area Riyadh, Saudi Arabia;","Eastern Ring Road, Exit 14, Al Riyan Area Riyadh, Saudi Arabia"
Smacc,growth_metrics,"23% | 94% | 117% | 105% | 516 % | 1,750% | -18%",23% | 94% | 117% | 105% | 516 % | 750% | -18%
Smart Fabric,growth_metrics,6% | ~5% | 5% | 6% | 6 % | 14% | 33% | 5% | 433%,6% | ~5% | 5% | 6 % | 14% | 33% | 433%
Smartwyre,description,Smartwyre is an agricultural technology company that provides software solutions smartwyre com Denver srnartwyre,is an agricultural technology company that provides software solutions smartwyre com Denver srnartwyre
SpaceFill,description,Spacefill is a logistics technology provider that offers 3PL management platform__ spacefill fr nia,is a logistics technology provider that offers 3PL management platform__ spacefill fr
Spotio,growth_metrics,4% | 4% | 13% | 8 % | 24% | 67% | 86 % | -21%,4% | 13% | 8 % | 24% | 67% | 86 % | -21%
Stable,description,Stable is specializes specializes in supply chain solutions for_. risk management company that supply chain solutions for_. stableprice com Bermuda Pembroke Hamilton stableprice,is specializes specializes in supply chain solutions for_. risk management company that supply chain solutions for_. stableprice com Bermuda Pembroke Hamilton stableprice
Staffinc Group,company_address,"Tower; JI H.R Rasuna Said No.13, RT.ZIRW.2, Kuningan,","Tower; JI H.R Rasuna Said No.13, RT.ZIRW.2, Kuningan"
Stonly,description,"Stonly is a software company that specializes in customer service solutions, offering_. stonly","is a software company that specializes in customer service solutions, offering_. stonly"
Stonly,growth_metrics,3% | 4% | ~5% | 5% | -19% | 5% | 103% | 293% | -33%,3% | 4% | ~5% | 5% | -19% | 103% | 293% | -33%
Survicate,description,Survicate is offers tools for collecting and analyzing__. survey software provider that ~suirvicate,is offers tools for collecting and analyzing__. survey software provider that ~suirvicate
Survicate,growth_metrics,5% | 5% | 7% | 3% | 33% | 115% | 100% | ~4%,5% | 7% | 3% | 33% | 115% | 100% | ~4%
Syrup Tech,growth_metrics,-2% | ~9% | -9% | -9% | 71% | 220% | 700% | -53%,-2% | ~9% | -9% | 71% | 220% | 700% | -53%
Tailor,growth_metrics,"7% | 42% | 166 % | 540% | 1,466 % | -19%",7% | 42% | 166 % | 540% | 466 % | -19%
Tajir,growth_metrics,"1% | ~6% | ~6 % | 6% | 6 % | ~2% | 2% | 47% | 346% | 1,506 % | 1,506%",1% | ~6% | ~6 % | 6% | 6 % | ~2% | 2% | 47% | 346% | 506 % | 506%
TallOrder Solutions,description,TallOrder Solutions Pty (Ltd) is TallOrder Solutions Pty (Ltd) is a company that provides point of sale solutions tailored fort__. provides point of sale solutions tailored fort_. company that tallorderpos com South Africa Western Cape Paarl cloudonemobi,Pty (Ltd) is TallOrder Solutions Pty (Ltd) is a company that provides point of sale solutions tailored fort__. provides point of sale solutions tailored fort_. company that tallorderpos com South Africa Western Cape Paarl cloudonemobi
TallOrder Solutions,growth_metrics,"2% | 2% | 2% | ""15% | 15% | 27% | 48%",2% | 15% | 27% | 48%
Tezign #J24,growth_metrics,~3% | 3% | 5% | -12% | -7% | 5% | 49% | 53%,~3% | 3% | 5% | -12% | -7% | 49% | 53%
Threecolts,growth_metrics,"10% | 33% | 124% | 248% | 657% | 10,000% | 431%",10% | 33% | 124% | 248% | 657% | 000% | 431%
Tiled,description,Tiled is an interactive content platform that enables businesses to create engaging sale _ (USA) Diego tiled,is an interactive content platform that enables businesses to create engaging sale _ (USA) Diego tiled
Tiled,company_address,"11848 Bernardo Plaza Ct; Ste 110; San Diego, California 92128,","11848 Bernardo Plaza Ct; Ste 110; San Diego, California 92128"
Tiled,growth_metrics,6 % | 3% | 3% | -16% | -43% | 44% | -22% | ~34%,6 % | 3% | -16% | -43% | 44% | -22% | ~34%
Tjek,description,Tjek is a digital marketing agency that specializes in providing automated digital__. tjek com ~tjuk,is a digital marketing agency that specializes in providing automated digital__. tjek com ~tjuk
Tradlinx,description,"Tradlinx is a offers the Zimgo service, logistics software provider that cloud-based__. tradlinx com S.A.R Hong Kong Hong Kong Island Tamar Park tr adlinxcorp","is a offers the Zimgo service, logistics software provider that cloud-based__. tradlinx com S.A.R Hong Kong Hong Kong Island Tamar Park tr adlinxcorp"
TranZact,growth_metrics,-1% | 41% | 43% | -3% | 3% | 1% | 2% | 162% | 288 % | 288% | 234% | 2%,-1% | 41% | 43% | -3% | 3% | 1% | 2% | 162% | 288 % | 288% | 234%
Ttez (New Core Tech),growth_metrics,9% | 9% | 43% | 91% | 187%,9% | 43% | 91% | 187%
Ugaoo,description,"Ugaoo is an online plant store specializing in a wide range of gardening products, including_. uilaoo","is an online plant store specializing in a wide range of gardening products, including_. uilaoo"
Unikt larande,growth_metrics,-2% | -2% | 29% | 37%,-2% | 29% | 37%
UserVoice,description,UserVoice is a software company that specializes in product feedback manageme uservoice com Raleigh uxiervoice,is a software company that specializes in product feedback manageme uservoice com Raleigh uxiervoice
UserVoice,growth_metrics,2% | 2% | -13% | ~27% | -32% | -32%,2% | -13% | ~27% | -32%
Verity,description,Verity is automated inventory management solutions__ technology company specializing in verity net verity-studios,is automated inventory management solutions__ technology company specializing in verity net verity-studios
Verity,growth_metrics,4% | 5% | ~10% | 10% | 37% | 85% | 187% | 85% | 43%,4% | 5% | ~10% | 10% | 37% | 85% | 187% | 43%
Vertuoza,growth_metrics,"2% | 11% | 33% | 48% | 189% | 723% | 5,250% | -13%",2% | 11% | 33% | 48% | 189% | 723% | 250% | -13%
Vitally,description,Vitally is provides businesses with tools Customer Success atform that enhance. vitally io Brooklyn vitally. io,is provides businesses with tools Customer Success atform that enhance. vitally io Brooklyn vitally. io
Voxware,growth_metrics,2% | 2% | -24% | -24% | -26%,2% | -24% | -26%
Waitwhile,description,Waitwhile is a technology company that provides customer flow management__ San Francisco waitwhile,is a technology company that provides customer flow management__ San Francisco waitwhile
Waitwhile,growth_metrics,"5% | 8% | 8 % | 15% | 15 % | 2% | -11% | 123% | 1,166% | -19%",5% | 8% | 8 % | 15% | 15 % | 2% | -11% | 123% | 166% | -19%
Wakeo,growth_metrics,~4% | 4% | 9% | 25% | 51% | 195% | 300% | 25%,~4% | 4% | 9% | 25% | 51% | 195% | 300%
"Webgility, Inc",company,"Webgility, Inc:","Webgility, Inc"
Webshippy,description,Webshippy i specializes fulfillment and dropshipping__ logistics company that webshippy com Hungary ebshippy,i specializes fulfillment and dropshipping__ logistics company that webshippy com Hungary ebshippy
Webshippy,growth_metrics,~9% | ~9% | -7% | -28% | ~53% | 2% | 85%,~9% | -7% | -28% | ~53% | 2% | 85%
Whimsical,description,"Whimsical is provides digital tools for product teams, software company that whimsical com Denver whimsical","is provides digital tools for product teams, software company that whimsical com Denver whimsical"
Workpath,description,Workpath is a business solutions provider specializing in strategy execution and__ workpath com workpathhq,is a business solutions provider specializing in strategy execution and__ workpath com workpathhq
Workpath,growth_metrics,2% | ~2% | 2% | ~20% | -20% | 56% | -68 % | -22% | 46% | 8 %,2% | ~2% | ~20% | -20% | 56% | -68 % | -22% | 46% | 8 %
Worldia,growth_metrics,0% | 0% | 3% | 22% | 69% | 149% | 183% | 1%,0% | 3% | 22% | 69% | 149% | 183% | 1%
Worldly,description,Worldly is a sustainability consulting company that provides tools and insights for brands__. (USA) Ig-co,is a sustainability consulting company that provides tools and insights for brands__. (USA) Ig-co
YottaMark,growth_metrics,-12% | 12% | -12%,-12% | 12%
Zencargo,description,Zencargo is a logistics company specializing in digital freight forwarding and supply chain. London zencargo,is a logistics company specializing in digital freight forwarding and supply chain. London zencargo
Zencargo,growth_metrics,0% | F1% | -4% | 4% | 23% | 48% | -22% | 40% | 13%,0% | 1% | -4% | 4% | 23% | 48% | -22% | 40% | 13%
Zeroboard,description,Zeroboard Inc. and software solutions provider that: sustainability consulting zeroboard jp #roboard,Inc. and software solutions provider that: sustainability consulting zeroboard jp #roboard
zeroheight,description,zeroheight is a design system management platform that provides tools for design and__ zeroheight com e United Kingdom (UK) England London zero-height,is a design system management platform that provides tools for design and__ zeroheight com e United Kingdom (UK) England London zero-height
Zthonline,headcount,"""201-500",
Zthonline,growth_metrics,8% | 4% | 4% | ~7% | -7% | -10% | -23% | ~36% | -36% | ~0% | 0%,8% | 4% | ~7% | -7% | -10% | -23% | ~36% | -36% | ~0% | 0%
Zubale,description,Zubale is a technology company specializing in e-commerce solutions. It offers software_ zubale com zlibale,is a technology company specializing in e-commerce solutions. It offers software_ zubale com zlibale
Zubale,growth_metrics,"6% | 14% | 34% | 55% | 152% | 692% | 2,551% | 19%",6% | 14% | 34% | 55% | 152% | 692% | 551% | 19%
Zuum App,growth_metrics,-18 % | ~27% | -27% | ~34% | 34% | -28% | -49% | -28% | 14% | -10%,-18 % | ~27% | -27% | ~34% | 34% | -28% | -49% | 14% | -10%
