company,added_date,description,website,headcount,employees,country,region,city,url_slug,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,investment_count,company_address,growth_3mo_headcount,growth_6mo_headcount,growth_1yr_headcount,growth_2yr_headcount,growth_3yr_headcount,growth_4yr_headcount,growth_5yr_headcount,growth_3mo_web_traffic,growth_extra_1,growth_extra_2,source_page,source_row
Ignite,"Jul 28, 2025 12.57 PM","that provides solutions for compliance, is a sustainable procurement platform",ignite.no,51-200,,Norway,Oslo,Oslo,igniteprocurement,Venture Capital,2017,16.4,4.8,Nov 2023,Series,Arkwright X,nla,griegkapital.no,,"Nedre Vollgate 11; Sentrum; Oslo 0158,NO",2%,5%,18 %,14%,77%,212%,,,,,1,6
Sendcloud,"Jul 28, 2025 12.57 PM",that offers solutions shipping software provider fol e-commerce,sendcloud.com,201-500,466,Netherlands,North Brabant,Eindhoven,seindcloud,Private Equity,2012,200.9,177,"Sep 14, 2021",Series,HPE Growth,Corporate,SoftBank Investme,40,"Stadhuisplein 10; Eindhoven, North Brabant 5611 EM, NL",10%,9%,7%,12%,50%,142%,-8 %,,,,1,7
Nexite,"Jul 28, 2025 12.57 PM",specializing in loT and Al solutions for fashio_ retail technology company,nexite.io,51-200,,Israel,Tel Aviv,Tel,Aviv-Yafo,Venture Capital,2017,100,,May 2022,Series,Battery Ventures,nla,Saban Ventures,100,"126 Igal Alon; Tel Aviv, Tel Aviv, IL",5 %,10%,12%,,,,,,,,1,10
Deliverect,"Jul 28, 2025 12.57 PM",specializing in food tech solutions for_ technology provider,deliverect.com,201-500,453,Belgium,Flanders,Ghent,duliverecthq,Venture Capital,2018,236.8,150,"Jan 23, 2022",Series,Alkeon Capital,Corporate,Newion,150,"Foreestelaan 82 bus 101; Ghent, Flemish Region 9000, BE",1%,~2%,-4%,4%,6 %,-1%,124%,538%,-10%,,1,11
Celus,"Jul 28, 2025 12.57 PM",specializing in electronics design solutions I. CELUS GmbH is = technology company,celus.io,51-200,,Germany,Bavaria,Munich,caintunity,Venture Capital,2018,31.6,25.5,Jul % 2022,Series,2xN,nla,Plug and Play Tecl,,"RidlerstraBe 57; Munich, Bavaria 80339, DE",0%,24%,35%,116 %,236 %,266 %,55%,,,,1,12
Kinexon,"Jul 28, 2025 12.57 PM",specializing in industrial automation solution: KINEXON i technology company,kinexon.com,201-500,211,Germany,Bavaria,Munich,kinexon,Private Equity,2012,147.8,130,"Apr 25, 2022",Series,BMW i Ventures,nla,EIT Digital,29,"Schellingstr: 35; Munich, Bavaria 80799,DE",-4%,-10%,-11%,11%,-17%,-16 %,13%,23%,~20%,,1,13
Sendoso,"Jul 28, 2025 12.57 PM",Sendoso is specializes in personalized gifting solutions. corporate gifting service that,sendoso.com,201-500,399,United States,(USA),California,San Francisco,Venture Capital,2016,152.7,100,"Sep 13, 2021",Series,Craft Ventures,Corporate,Storm Ventures,43,"447 Battery St; Floor 2; San Francisco, California 94111, US",2%,-1%,1%,~2%,-2%,-16 %,-49%,43%,9%,,1,14
EXA Kehu,"Jul 28, 2025 12.57 PM",KEHU is a technology company specializing in distribution automation solutions: offers,kehutech.com,51-200,,China,Shanghai,Jing'An,kehutech,Venture Capital,2015,,,"Feb 26, 2019",Series,French Partners,nla,French Partners,,"#ZK, Ei4i 200000,CN",-3%,3%,6 %,,,,,,,,1,15
autone,"Jul 28, 2025 12.57 PM",specializing in inventory management _ Autone is white-collar service company,autone.io,51-200,,United Kingdom,(UK),England,London,Venture Capital,2021,21.2,16.9,"Oct 15, 2024",Series,2100 Ventures,nla,Motier Ventures,,"London, England, GB",5 %,27%,151%,420%,500%,-2%,,,,,1,16
Logcomex,"Jul 28, 2025 12.57 PM",Logcomex is a logistics technology company that provides software solutions for planning_,logcomex.com,201-500,386,Brazil,Parana,Industrial,Cidade,Private Equity,2016,44.5,33.6,"Nov 21, 2023",Series,Alexia Ventures,nla,bossa invest,,"andar; Curitiba, Parana",4%,6 %,12%,23%,14%,118 %,451%,,,,1,17
Elmt+RuaMtr A&),"Jul 28, 2025 12.57 PM","Shanghai Elitesland Software System Co., Ltd. consulting and software development__.",elitesland.com,"501-1,000",,China,Shanghai,Qingpu,sciftware-system _,Venture Capital,2004,14.9,22,May 2023,Series,songyuancap com,Corporate,songyuancap com,22,"137t2815887521+[R+OOLZATEZE; Amg, Lim, CN",-0%,8 %,3%,0%,5%,16 %,,,,,1,18
PT Esensi Solusi Buana (ESB),"Jul 28, 2025 12.57 PM",Esensi Solusi Buana that specializes in providing cloud-based _ technology company,esb.id,201-500,351,Indonesia,Banten,Tangerang,pI-esensi-solusi -,Private Equity,2018,39.6,,"Aug 28, 2022",Series,Alpha JWC Ventures,nla,Alpha JWC Ventur,,Tangerang; ID,3%,7%,-1%,1%,-12%,58 %,290%,5%,,,1,19
Zeroboard,"Jul 28, 2025 12.57 PM",Zeroboard Inc. and software solutions provider that: sustainability consulting,zeroboard.jp,51-200,,Japan,Tokyo,Minato City,#roboard,Venture Capital,2021,17.9,17.9,"Feb 26, 2023",Series,Coral Capital,nla,DBJ Capital,,"=0=TAS-27; RTMa=@vt> Eilpi1on; @E, RrT",-5%,-2%,6 %,57%,,,,,,,1,21
Simbe,"Jul 28, 2025 12.57 PM",specializing in retail solutions. They offer _ Simbe Robotics technology company,simberobotics.com,51-200,,United States,(USA),California,South San,Private Equity,2014,104,,"Oct 23, 2024",Series,eclipse capital,nla,Pillar VC,104,"385 Oyster Point Blvd; STE #2; South San Francisco, California",21%,51%,89%,167%,145%,152%,193%,5%,,,1,23
Aeb,"Jul 28, 2025 12.57 PM",AEB is a software company specializing in global trade ad logistics solutions They_,aeb.com,"501-1,000",871,Germany,Wurttemberg,Baden -,Stuttgart,Private Equity,1979,41.7,14.2,Aug 2009,Series,Agman,Corporate,Flagship Pioneerin,,"Sigmaringer StraBe 109; Stuttgart; Baden-Wirttemberg 70567,",1%,8 %,14%,26 %,31%,54%,59%,20%,,,1,24
Cheetah,"Jul 28, 2025 12.57 PM",specializing in eCommerce solutions for the. Cheetah is a technology company,gocheetah.com,51-200,129,United States,(USA),California,San Francisco,Venture Capital,2014,127.7,,,Series,FJ Labs,Corporate,Iconiq,,"351 9th Street; Suite 302; San Francisco, CA 94103,US",56 %,,,,,,,,,,1,25
Smartwyre,"Jul 28, 2025 12.57 PM",Smartwyre is an agricultural technology company that provides software solutions,smartwyre.com,51-200,,United States,(USA),Colorado,Denver,Venture Capital,2018,13.5,10.5,Sep 2021,Series,Anterra Capital,nla,Anterra Capital,,"2301 Blake St; Denver; Colorado 80205, US",-4%,-5%,3%,27%,97%,232%,361%,7%,,,1,28
Vesper,"Jul 28, 2025 12.57 PM",that provides businesses with real-time. Vesper i commodity intelligence platform,vespertool.com,51-200,116,Netherlands,North Holland,Amsterdam,vespertool,Venture Capital,2018,5.8,,"Nov 28, 2023",Series,Keen Venture Partners,nla,Piton Capital,,"Vijzelstraat 79; Amsterdam, Noord Holland 1017HG, NL",0%,3%,11%,38 %,39%,286 %,792%,,,,1,29
Pixibo,"Jul 28, 2025 12.57 PM",Pixibo is a technology company specializing in size and fit solutions for the fashion retail _,wearepixibo.com,11-50,,nla,Singapore,nla,nla,Venture Capital,2016,2.4,,"Feb 23, 2021",Series,Atlas Ventures,nla,starttoday jp,,"Feb 23, 2021",,,,,,,,,,,1,31
Livespace,"Jul 28, 2025 12.57 PM",Livespace is offers comprehensive platform designed - CRM software provider that,livespace.io,11-50,,Poland,Masovian,Voivodeship,Warsaw,Private Equity,2013,3.2,2.5,"Feb 29, 2024",Series,Aria,nja,Google for Startup,,"Rejtana; 17/12; Warszawa, Mazowieckie 02-516, PL",3%,1%,43%,73%,68 %,103%,126 %,-17%,,,1,33
Buffalo Market,"Jul 28, 2025 12.57 PM",specializing in the efficient distribution of_ Buffalo Market is food distributor,buffalomarket.com,11-50,,United States,(USA),California,San Francisco,Venture Capital,2019,42.2,18.5,Jul 2023,Series,Coughdrop Capital,nla,Evolution Venture:,,"800 Market Street; San Francisco, CA 94117, US",-11%,~21%,1%,~27%,-27%,36 %,39%,220%,,,1,35
Skydropx LATAM,"Jul 28, 2025 12.57 PM",Skydropx is specializes automating shipping processe: logistics software provider that,skydropx.com,201-500,444,Mexico,Nuevo Leon,Monterrey,s: kydropx,Venture Capital,2014,,,Aug 2022,Series,Angel Hub Ventures,Corporate,SIERRA Ventures,,"Padre Raymundo Jardo 925; Monterrey, Nuevo Leon 64000,MX",2%,3%,9%,20%,0%,30%,,,,,1,36
Epost Plus,"Jul 28, 2025 12.57 PM",specializing in eCommerce and L Epost technology solutions provider logistics Th_,epost.co,51-200,,Malaysia,Sabah,Kota Kinabalu,epostplus,Venture Capital,2019,2.3,1.5,"Jul 19, 2021",Series,nla,nla,Vynn Capital,,"Mile 5.5, Tuaran Road; Kota Kinabalu; Sabah; MY",4%,-8 %,-26 %,,,,,,,,1,37
Zero Gravity Ventures Ltd.,"Jul 28, 2025 12.57 PM",Sindabad com Ltd. is a that offers wide range of products includin_. commerce platform zerogravity combd Bangladesh Dhaka Dhaka,sindabad.com,201-500,,Bangladesh,Dhaka,Dhaka,zero-gravity-,Venture Capital,2015,,,"Feb 18, 2018",Series,frontierfundbd com,nla,frontierfundbd cor,,"Road 7, Block G; House 43; Dhaka, Dhaka 1213, BD",~2%,-5%,5%,-7%,-12%,~22%,30%,-44%,,,1,38
Higharc,"Jul 28, 2025 12.57 PM",Higharc = that offers an intelligent platform for homebuilding software provider,higharc.com,51-200,114,United States,(USA),New York,New York,Private Equity,2018,,,"Feb 14,2024",Series,Ferguson Ventures Inc,nla,tectonic vc,,"Anywhere, US OOOOO, US",0%,6 %,29%,86 %,159%,293%,660%,35%,,,1,39
Iunu,"Jul 28, 2025 12.57 PM",IUNU is an agricultural technology company that provides Al-assisted growing solutions.,iunu.com,51-200,,United States,(USA),Washington,Seattle,Venture Capital,2013,20,,"Apr 14, 2025",Series,Fcc,Fac,Corporate,20,"558 Ist Ave S; Seattle, WA 98103, US",4%,-7%,-12%,13%,73%,143%,155%,,,,1,40
Eden,"Jul 28, 2025 12.57 PM",Eden is provider that offers solutions for desk:_ workplace management software,edenworkplace.com,11-50,,United States,(USA),California,San Francisco,Venture Capital,2020,23,,"Mar 2, 2020",Series,spark jIl.com,Corporate,Redpoint,23,"351 California St; Suite 1100; San Francisco, California 94104, US",11%,-4%,4%,9%,20%,27%,-15%,,,,1,41
HypaShip,"Jul 28, 2025 12.57 PM",HypaShip is a logistics technology provider that offers modular; end-to-end platform __.,hypaship.com,51-200,,United Kingdom,(UK),England,Witney,Venture Capital,2011,,,Sep 2017,Series,Concentric,nla,ecIcapital com,,"OX29 OYN, GB",5 %,10%,16%,16 %,5%,-15%,,,,,1,43
Zubale,"Jul 28, 2025 12.57 PM",Zubale is a technology company specializing in e-commerce solutions. It offers software_,zubale.com,"501-1,000","1,299",Mexico,Mexico City,Mexico City,zlibale,Venture Capital,2018,119,,"Nov 29, 2023",Series,nla,Wollef,XFactc,119,"Mexico City, MX",6%,14%,34%,55%,152%,692%,551%,19%,,,1,44
Bizom,"Jul 28, 2025 12.57 PM",specializing in sales automation and . retail technology provider,bizom.com,201-500,522,India,Karnataka,Bengaluru,mobisy -,Venture Capital,2008,18.2,50,"Dec 17, 2024",Series,IndiaMART InterMESH Limi,nja,Pavestone VC,50,"Opp. Vakil Cardenia Apts, Bellandur; Bangalore, Karnata .",3%,6 %,10%,18 %,38 %,98 %,169%,,,,1,45
shipzero,"Jul 28, 2025 12.57 PM",specializing in emissions management _ Shipzero is a technology company,shipzero.com,51-200,,Germany,Hamburg,Hamburg,aupanion,Venture Capital,2018,8.7,,"May 26, 2024",Series,ETF Partners,The Environ,nla,,"Hamburg, 20457, DE",-3%,8 %,39%,113%,~73%,,,,,,1,46
ecoplanet,"Jul 28, 2025 12.57 PM",EcoPlanet Green Operations GmbH is an energy management company that offers.,ecoplanet.tech,51-200,102,Germany,Bavaria,Munich,ecoplanet-green-,Private Equity,2022,19.5,16.7,"Jan 19, 2025",Series,EQT Ventures,nia,EQT Ventures,,"MarsstraBe 46; Munich; Bavaria 80335, DE",20%,12%,104%,218 %,0%,,,,,,1,47
MI2107lz,"Jul 28, 2025 12.57 PM",MtaIu)LX is a logistics technology company that = specializes providing _,logiless.com,51-200,,Japan,Tokyo,Shinagawa City,giless,Venture Capital,2017,10.9,,"Feb 27, 2025",Series,CommerceMedia Inc:,nja,500 Global,,"0031, JP",16%,31%,61%,162%,320%,,,,,,1,49
Zuum App,"Jul 28, 2025 12.57 PM",Zuum Transportation Inc. software provider that offers logistics comprehensi .,zuumapp.com,51-200,,United States,(USA),California,Irvine,Corporate,2016,38.6,,Feb 2022,Series,Capital Partners Private We,nla,holmangrowthveni,,"18100 Von Karman Ave; Ste 10O; Irvine, California 92612, US",-18 %,~27%,-27%,~34%,34%,-28%,-49%,14%,-10%,,1,50
Inpulse,"Jul 28, 2025 12.57 PM",management and supplier ordering solution _ company that provides inventory,inpulse.ai,11-50,,France,ile-De-France,Paris,duepsight,Venture Capital,2018,7.7,,"Apr 18,2023",Series,High Flyers Capital,nla,High Flyers Capita,,"83, Boulevard de Sebastopol; Paris, ile-de-France 75002,FR",10%,17%,-8%,-8 %,31%,68 %,,,,,1,51
Gokomodo,"Jul 28, 2025 12.57 PM",company that provides an agricultural supply chain wide range of_,gokomodo.com,51-200,204,Indonesia,Jakarta,Jakarta,gukomodo,Venture Capital,2019,26,,Sep 2022,Series,East Ventures,nla,East Ventures,26,"North Tower; Lantai 18; Jakarta, DKI Jakarta 12930, ID",7%,18%,18 %,29%,161%,750%,754%,~37%,,,1,52
LevaData,"Jul 28, 2025 12.57 PM",software provider that specializes supply chain management direct _,ievadata.com,51-200,,United States,(USA),California,Pleasanton,Venture Capital,2013,65.5,,"Sep 12, 2021",Series,Banneker Partners,nla,Banneker Partners,,Floor;,-18 %,-27%,~57%,59%,~54%,28 %,,,,,1,54
Schittflix,"Jul 28, 2025 12.57 PM","Schuttflix is connects construction companies, material_. digital logistics platform that",schuettflix.de,51-200,,nla,Germany,North Rhine,Westphalia,Venture Capital,2018,116.8,51.1,"Aug 22, 2023",Series,DEVK Versicherungen,nla,Goldbeck,,"Aug 22, 2023",,,,,,,,,,,1,56
Zencargo,"Jul 28, 2025 12.57 PM",Zencargo is a logistics company specializing in digital freight forwarding and supply chain.,zencargo.com,201-500,140,United Kingdom,(UK),England,London,Venture Capital,2017,25,,"May 10, 2021",Series,HV Capital,nla,LocalGlobe,25,"London, GB",0%,1%,-4%,4%,23%,48%,-22%,40%,13%,,1,57
Alloy.ai,"Jul 28, 2025 12.57 PM",provides data integration and analytics _ Alloy.ai is white-collar service company that,alloy.ai,51-200,,United States,(USA),California,San Francisco,Venture Capital,2016,15.3,,"May 13, 2018",Series,8vc,nla,Menlo Ventures,,"528 Folsom St; San Francisco, California 94105, US",-3%,-9%,9%,20%,-13%,-19%,29%,,,,1,59
Opal,"Jul 28, 2025 12.57 PM",provides marketing technology company that comprehensive platform for_.,workwithopal.com,51-200,,United States,(USA),Oregon,Portland,Venture Capital,2011,22.6,12.5,"Dec 12, 2016",Series,Accel,Corporate,InterWest Partners,,"1060 NW 9th Avenue; Portland, OR 97209, US",5 %,-1%,-0%,1%,3%,2%,11%,-27%,,,1,60
iStore iSend,"Jul 28, 2025 12.57 PM","2o, ZozJ ea provider specializing in logistics and packin _ provider specializing commerce fulfillment logistics and packin .",istoreisend.com,51-200,182,Malaysia,Wviclayoic,Kuala Lumpur,Eeen,Venture Capital,2015,5.5,,"Jul 25, 2021",Series,Sceti,Global Brain Corporation,Sdcce,,"Selangor 47120, MY",-3%,4%,2%,5%,18 %,91%,149%,-8 %,,,1,61
Sindabad com,"Jul 28, 2025 12.57 PM","Jul 28, 2025 12.57 PM Sindabadcom Ltd. that offers Sindabad com Ltd. is a wide range of products includin_. wide range an e-commerce commerce platform products includin_. platform sindabad com",sindabad.com,"501-1,000",143,Bangladesh,Dhaka,Dhaka,ndabad-com,Venture Capital,2016,8.3,,"May 27, 2019",Series,Aavishkaar Capital,nla,Aavishkaar Capita,,"Khilkhet; Dhaka 1229; Dhaka,",41%,~1%,-1%,1%,-0%,-12%,27%,60%,-4%,4%,1,62
Method CRM,"Jul 28, 2025 12.57 PM",Jul 28 2025 12.57 PM Method Integration is a technology company Method Integration that offers = that offers customizable CRM solution __. customizable CRM solution__. 'technology company,method.me,51-200,105,HI Canada,Canada,Ontario,Toronto,Venture Capital,2010,9.5,,"Oct 31, 2015",Series,~nla,nla,nla,,"410 Adelaide St West; 3rd Floor; Toronto, Ontario MSV 158, CA",8 %,6%,6 %,7%,29%,54%,61%,94%,-29%,,1,63
TranZact,"Jul 28, 2025 12.57 PM",cloud-based inventory management solutio _. cloud-based inventory management solutio __ TranZact is : TranZact is software company that provides,letstranzact.com,11-50,,India,Maharashtra,Mumbai,letstranzact,Venture Capital,2017,,,"Dec 15, 2021",Series,axiomatic co.in,axiomaticco.in,nja,,"MIDC , Andheri East; Mumbai, Maharashtra 400096, IN",-1%,41%,43%,-3%,3%,1%,2%,162%,288 %,288%,1,65
Eaenu#IaEiXTRA,"Jul 28, 2025 12.57 PM","Jul 28, 2025 12.57 PM specializing in sales force automation. eBest Mobile is a technology company ~eBest Mobile = specializing in sales force automation _ technology company",ebestmobile.com,"501-1,000",,China,Shanghai,Shanghai,%e4%b8%8a%e6.,Venture Capital,2000,,,"Feb 28,2014",Series,Sinovation Ventures (@IMiI,Sinovation Ventures (@IMI,nla,,"m, Lwm 200030, CN",-6%,~6%,6 %,~6 %,~21%,221%,,,,,1,66
Stable,"Jul 28, 2025 12.57 PM",Stable is specializes specializes in supply chain solutions for_. risk management company that supply chain solutions for_.,stableprice.com,51-200,,Bermuda,Pembroke,Hamilton,stableprice,Venture Capital,2017,112.5,,"May 25, 2022",Series,Acrew Capital,nla,Syngenta,,"26 Victoria Street; Hamilton, Bermuda HM 12, BM",38%,38 %,-6 %,6 %,,,,,,,1,67
Spotio,"Jul 28, 2025 12.57 PM","28, 2025 12.57 PM SPOTIO offers solutions SPOTIO is a field sales software provider that field sales software provider that ~enhance sales productivit__. enhance sales productivit__.",spotio.com,51-200,,United States,(USA),Texas,Addison,Venture Capital,2014,4.5,,Jan 2020,Series,Ballast Point Ventures,nfa,nla,,"5057 Keller Springs Rd; Suite 325; Addison, Texas 75001, US",4%,13%,8 %,24%,67%,86 %,-21%,,,,1,68
"Beijing Freedo Technology Co , Ltd.","Jul 28, 2025 12.57 PM","Beijing Freedo Technology Co , Ltd. is a digital Beijing Freedo Technology Co , Ltd_ twin technology provider specializing in sma. twin technology provider specializing digital sma: .",freedoonline.com,201-500,,China,Beijing,Beijing,technology-co-Itd,Venture Capital,2016,17.5,56,"Dec 17, 2023",Series,nja,nla,nja,56,Beijing; CN,-33%,33%,83 %,83%,,,,,,,1,69
Cropin,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM is an agriculture technology company that _ Cropin Technology Solutions Private Limited agriculture technology company that_. cropin com",cropin.com,201-500,190,India,Karnataka,Bengaluru,cropin-technology,Private Equity,2010,46.4,13.8,Dec 2022,Series,abcworld com.sg,nla,Invested Developn,25,"Karnataka 560029, IN",~2%,-2%,~8%,-8 %,-14%,-16 %,-16%,-24%,-6%,6 %,1,70
Worldia,"Jul 28, 2025 12.57 PM",offers platform for travel distributors to. platform for travel distributors to._ 'travel technology provider that travel technology provider that,worldia.com,51-200,207,France,ile-De-France,Paris,worldia,Venture Capital,2012,44,20,"May 10, 2023",Series,Banque des Territoires,nla,Red River West,20,"lanche; Paris, ile-de-France 75009, FR",0%,3%,22%,69%,149%,183%,1%,,,,1,71
Tinvio,"Jul 28, 2025 12.57 PM",reimagines how merchants and suppliers__ Tinvio ] BZB payment platform that,tinvio.com,51-200,,Singapore,nla,nla,tinivio,Venture Capital,2019,18.5,,"Jul 14, 2021",Series,AppWorks,nla,Partech,,"Singapore, SG",3%,1%,-7%,~25%,-65%,6 %,246%,,,,1,73
Grubtech,"Jul 28, 2025 12.57 PM",specializing in technology company restaura management__,grubtech.com,51-200,188,United Arab,Emirates,Dubai,Dubai,Venture Capital,2019,33.4,,"May 27, 2024",Series,Addition,nla,Jahez Internationa,,Al Abraj Street; 1201; Dubai; AE,4%,7%,22%,33%,40%,213%,840%,,,,1,74
SimpliRoute,"Jul 28, 2025 12.57 PM",that specializes in route optimization and fle. logistics software provider,simpliroute.com,51-200,123,Chile,Santiago,Providencia,si nplit-solutions,Venture Capital,2014,11.2,,Dec 2021,Series,nla,nla,Plug and Play Tecl,,"Metropolitana de Santiago 7510021, CL",3%,-4%,4%,-13%,8%,-27%,30%,127%,,,1,75
GoFreight,"Jul 28, 2025 12.57 PM",GoFreight is in freight forwarding solutions. They software company specia provide _. llizing,gofreight.com,51-200,,United States,(USA),California,Los Angeles,Venture Capital,2017,28,24.1,"Nov 12, 2022",Series,Cornerstone Ventures U4;,nla,LFX Venture Partn,28,"Los Angeles, US",~1%,~0%,-0%,2%,11%,-22%,44%,192%,-17%,,1,79
ChannelEngine,"Jul 28, 2025 12.57 PM",provides ecommerce solutions for brands ChannelEngine [ digital platform that,channelengine.com,51-200,193,Netherlands,South Holland,Leiden,channelengine,Private Equity,2013,57.2,49.9,"Mar 14, 2022",Series,Airbridge Equity Partners,Corporate,~silverpointventure:,20,"Vondellaan 47; Leiden, 2332AA , NL",1%,~0%,0%,-3%,3%,-19%,24%,121%,394%,12%,1,81
Leverage,"Jul 28, 2025 12.57 PM",Leverage Al is company that offers Al-powered solutions supply chain management,tryleverage.ai,51-200,,United States,(USA),New York,New York,Venture Capital,2018,9.9,23,"Jul 13, 2023",Series,Chicago Ventures,nla,Tensility Venture [,23,New York; US,~2%,16%,16 %,-10%,29%,400%,650%,-12%,,,1,82
Dorabot,"Jul 28, 2025 12.57 PM",~smart warehouse solutions: They design _ robotics company specializing in,dorabot.com,51-200,,United States,(USA),Georgia,Peachtree,Venture Capital,2015,,,"Feb 27, 2018",Series,Sinovation Ventures (@IMI,nla,Sinovation Venturt,,"Peachtree Corners, Georgia GA 30071, US",~1%,43%,3%,-7%,-26%,-44%,~37%,~32%,,,1,87
WitefmsimziR'A,"Jul 28, 2025 12.57 PM",#Wirt#FisrmtJiA] trading and data services company that _. steel,baochunsteel.com,51-200,,China,Hebei,Tangshan,%e5%94%90%e5_,Public,2010,7.3,7.3,"Jun 25, 2019",Series,nla,nla,nla,,"bWmbakrY iWv} #IL(0Mi69); EWm, patz 063000,",~20%,,,,,,,,,,1,89
Prokeep,"Jul 28, 2025 12.57 PM",that provides communication solutions for. customer engagement platform,prokeep.com,51-200,101,United States,(USA),Louisiana,New Orleans,Venture Capital,2016,34,,"Nov 10, 2024",Series,bensoncpcom,nla,S3vc com,34,"New Orleans, LA 70115, US",6 %,~8%,-8 %,2%,14%,80%,152%,304%,-4%,,1,98
Company,"Jul 28, 2025 12.57 PM",Akeneo in product information management (PIM) &. technology company specializing,akeneo.com,,,,,,,Private Equity,2013,196.4,135,"Mar 14, 2022",Series,Alven,Corporate,Kima Ventures,45,"place General Mellinet; NANTES, FRANCE 44100, FR",4%,7%,49%,93%,132%,-5%,,,,,1,101
