company,added_date,description,website,headcount,employees,country,region,city,url_slug,ownership_type,founded,total_funding_m,last_funding_amount_m,last_funding_date,last_funding_type,last_funding_lead_investor,investor_type,investors,investment_count,company_address,growth_3mo_headcount,growth_6mo_headcount,growth_1yr_headcount,growth_2yr_headcount,growth_3yr_headcount,growth_4yr_headcount,growth_5yr_headcount,growth_3mo_web_traffic,growth_extra_1,growth_extra_2,source_page,source_row
Alegra,"Jul 28, 2025 12.57 PM",accounting and invoicing solutions software company that provides lored,alegra.com,201-500,681,Colombia,Antioquia,Medellin,alegra,Private Equity,2012,0.1,48,"Jul 10,2023",Series,Riverwood Capital,nla,Riverwood Capital,48,"Carrera 43C; 5-115; Medellin, Medellin 03100,CO",2%,28 %,22%,54%,132%,477%,751%,-12%,,,1,102
Flexe,"Jul 28, 2025 12.57 PM",flexible warehousing infrastructure and_. logistics company that provides,flexe.com,51-200,220,United States,(USA),Washington,Seattle,Private Equity,2013,263,119,"Jul 5,2022",Series,Activate Capital,nla,Redpoint,119,"4786 Ist Ave S; 106; Seattle, Washington 98134,US",41%,43%,~3%,-7%,~51%,~50%,-12%,49%,~45%,,1,103
Physna,"Jul 28, 2025 12.57 PM",specializes technology company that 3D geometric search and_.,physna.com,51-200,,United States,(USA),Ohio,Columbus,Private Equity,2015,,,"Jun 30, 2021",Series,GV (Google Ventures),nla,Drive Capital,,"250 West St; Columbus, Ohio 43215, US",~9%,-28%,~37%,-37%,~42%,~56%,~31%,27%,774%,,1,107
Everysens,"Jul 28, 2025 12.57 PM",specializing rail transport management logistics technology provider,everysens.com,51-200,,France,ile-De-France,Paris,~evrerysens,Venture Capital,2015,6.7,6.6,May 2023,Series,Aglae Ventures,nla,Kima Ventures,,"11 bis rue Beaurepaire; Paris, Ile-de-France 75010, FR",-2%,-12%,-10%,-18 %,10%,36 %,78%,148%,,,1,110
SELLinALL,"Jul 28, 2025 12.57 PM",Graas specializing in eCommerce analytics: data solutions company offer _.,graas.ai,201-500,,Singapore,nla,nla,~seiIl-in-all,Private Equity,2015,40,,"Aug 16, 2022",Series,ajcapital com,Corporate,yujventures com,40,"ebar Rd; Az@payalebar; Singapore, 409015,",-14%,-28%,336%,~82%,-73%,~59%,68%,,,,1,111
Proggio,"Jul 28, 2025 12.57 PM",Proggio is provider that offers project management software comprehensive platfor _,proggio.com,11-50,,Israel,Center,Kefar Sava,ploggio,Venture Capital,2015,,,"Apr 11, 2022",Series,2.0 Ventures,nla,Mangrove Capital,,"13 Hataas St;; Kfar Saba, Hasharon Distinct, IL",-11%,-15%,-31%,31%,-27%,10%,88 %,19%,,,1,114
Shippit,"Jul 28, 2025 12.57 PM",Shippit i provides multi-carrier shipping software and_ logistics technology company that,shippit.com,51-200,159,Australia,New South Wales,Sydney,shippit,Venture Capital,2014,79.4,46.2,May 2022,Series,Perennial Partners,Corporate,rtlgroupinvestmen,,"4-6 Bligh Street; Level 2; Sydney; New South Wales 2000, AU",4%,3%,~2%,2%,-15%,~7%,21%,117%,-6 %,,1,115
Goodshutfle,"Jul 28, 2025 12.57 PM",Goodshuffle Pro is a software company that provides event rental management solutions.,goodshuffle.com,11-50,,United States,(USA),District Of,Columbia,Venture Capital,2015,5.3,,Feb 2024,Series,FINTOP Capital,nla,FINTOP Capital,,,,,,,,,,,,,1,116
Webshippy,"Jul 28, 2025 12.57 PM",Webshippy i specializes fulfillment and dropshipping__ logistics company that,webshippy.com,51-200,,Hungary,nla,nla,ebshippy,Venture Capital,2016,,,"Jun 29,2022",Series,Day One Capital,nla,Hiventures,,"East Gate Business Park; C/2;; Fot; 2151, HU",~9%,-7%,-28%,~53%,2%,85%,,,,,1,119
Optilogic Inc.,"Jul 28, 2025 12.57 PM",that Optilogic is offers advanced solutions for supply- supply chain software provider,optilogic.com,51-200,,United States,(USA),Michigan,Ann Arbor,Venture Capital,2019,53,309,"Apr 7, 2025",Series,MK Capital,Corporate,MK Capital,309,"Main St; Ann Arbor; Michigan 48104, US",22%,38 %,67%,159%,284%,746%,075 %,42%,,,1,122
dolado,"Jul 28, 2025 12.57 PM",Dolado provider that connects sellers and industries_ digital marketplace and logistics,dolado.com,51-200,,Brazil,Sao Paulo,Sao Paulo,crimpredolado,Venture Capital,2020,12.2,,Apr = 2022,Series,Clocktower Ventures,nfa,Endeavor,,"Sao Paulo, BR",2 %,2%,5%,~31%,127%,,,,,,1,124
Vitally,"Jul 28, 2025 12.57 PM",Vitally is provides businesses with tools Customer Success atform that enhance.,vitally.io,51-200,116,United States,(USA),New York,Brooklyn,Venture Capital,2017,39.3,30,"Feb 21, 2023",Series,HubSpot,nla,HubSpot,30,"Brooklyn, NY 11249, US",18 %,14%,16 %,23%,146%,728%,954%,12%,,,1,126
YottaMark,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM iFoodDS is a software company specializing in food safety, traceability, and quality __ food safety, traceability, ad quality_ yottamarkcom",yottamark.com,51-200,,United States,(USA),California,Redwood City,Private Equity,2005,45.1,,"Aug 14, 2012",Series,Series D,ataventures com,Corporate,,"1400 Bridge Parkway; Suite 101; Redwood City; CA 94065, US",-12%,12%,,,,,,,,,1,127
Scurri,"Jul 28, 2025 12.57 PM",Scurri is a delivery management software Scurri is provider that offers solutions Iike Scurri__. provider that offers solutions like Scurri _. delivery management software ~scurri com,scurri.com,51-200,,United States,(USA),Pennsylvania,Wexford,Venture Capital,2010,18.5,10.9,"Jun 14,2021",Series,Act Venture Capital,Corporate,Episode,,"Common Quay Street; Wexford, IE",~1%,~4%,-4%,4%,-1%,25%,42%,76%,76 %,33%,1,128
Proximity,"Jul 28, 2025 12.57 PM","JJul 28, 2025 12.57 PM Proximity is specializing in clienteling solutions for retail_ specializing in clienteling solutions for retail__ retail technology provider 'retail technology provider",proximityinsight.com,11-50,,(UK),United Kingdom,England,London,Venture Capital,2018,7.2,,"Mar 27, 2022",Series,Gresham House,Ventures,Corporate,,"Runway East, 52 Tabernacle Street; London, England ECZ A4NJ,",-7%,~7%,-9%,~9%,9%,-13%,~20%,7%,44%,-6%,1,129
Keen Decision Systems,"Jul 28, 2025 12.57 PM",analytics company analytics company that provides an Al _ {tha provides marketing Al-_,keends.com,11-50,,United States,(USA),North Carolina,Durham,Venture Capital,2010,17.9,,"Jul 18, 2022",Series,Ballast Point Ventures,nja,nla,,"27709, US",10%,18 %,-1%,13%,54%,72%,,,,,1,130
Kevala,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM provides software solutions provides software solutions for grid_ an energy analytics company that energy analytics company that grid.",kevala.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2014,,,"Aug 30, 2021",Series,C5 Capital,nla,nja,,"550 California St; #625; San Francisco, California 94104, US",-12%,~40%,-40%,-20%,~20%,-26%,-35%,41%,177%,225%,1,131
Naologic,"Jul 28, 2025 12.57 PM",Naologic is Naologic / Al-enabled no-code platform for Al-enabled no-code platform software company that offers an software company that offers for building_ building_.,naologic.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2017,,,Jan 2023,Series,nja,nla,nla,,"San Francisco, California 94103, US",-9%,9%,-16%,-16 %,11%,42%,233%,,,,1,132
Ambition,"Jul 28, 2025 12.57 PM","28, 2025 12.57 PM Ambition is a sales coaching software provider that offers Ambition is sales coaching software comprehensive platfor _ comprehensive platfor __",ambition.com,51-200,,United States,(USA),Tennessee,Chattanooga,Private Equity,2013,21.2,15.5,"Oct 6, 2021",Series,Nashville Capital Network,nfa,nja,,"1603 Fagan St; Chattanooga, Tennessee 37408,US",1%,-1%,-4%,4%,~22%,-22%,~40%,40%,13%,-24%,1,133
Canibuild,"Jul 28, 2025 12.57 PM",canibuild innovative innovative site planning solutions for__. canibuild is cme software company that provides planning solutions fon ',canibuild.com,51-200,90,Australia,New South Wales,Barangaroo,verumtek,Venture Capital,2020,9.4,5.8,Mar 2022,Series,Evp,nja,nla,,"Barangaroo, New South Wales 2000,AU",-1%,~1%,~4%,-4%,4%,7%,-7%,50%,246%,542%,1,134
Kojo,"Jul 28, 2025 12.57 PM","Jul 28,2025 12.57 PM Kojo is material management solutions for the__ material management solutions for the: software company that provides",usekojo.com,51-200,159,United States,(USA),California,San Francisco,Venture Capital,2018,83.6,,"Sep 13, 2022",Series,8vc,nla,nja,,"San Francisco, California 94103, US",7%,13%,8 %,31%,62%,20%,,,,,1,135
Toucan,"Jul 28, 2025 12.57 PM",company that provides solutions for data__. company that provides solutions Toucan Toco is Toco data analytics software for data.,toucantoco.com,51-200,80,United States,(USA),Massachusetts,Boston,Venture Capital,2015,13.2,13.2,"Nov 27, 2019",Series,Balderton Capital,nla,nja,,"75 State St; Boston, Massachusetts 02109, US",1%,43%,~3%,3%,-6%,6%,6 %,~20%,-40%,~37%,1,136
Cascade,"Jul 28, 2025 12.57 PM",Cascade = offers ~offers comprehensive platform for strateg_ comprehensive platform for strateg .. strategy software company that,cascade.app,51-200,234,United States,(USA),New York,New York,Venture Capital,2016,20,,"Mar 20, 2022",Series,Carthona Capital,nfa,nja,20,"10005, US",9%,24%,-2%,~3%,3%,25%,46%,-11%,,,1,137
Explorate,"Jul 28, 2025 12.57 PM",Explorate is in freight forwarding and supply chain_. logistics company specializing,explorate.co,51-200,,Australia,Queensland,Fortitude Valley,exploratehq,Venture Capital,2017,,,"Jan 19, 2022",Series,Evp,nja,Cardinia Ventures,,"Valley , Queensland 4006, AU",~1%,-5%,5%,-11%,9%,175%,400%,,,,1,138
Replica,"Jul 28, 2025 12.57 PM",Replica is provides tools and datasets for transportatio__ data analytics company that,replicahq.com,51-200,,United States,(USA),Kansas,Leawood,Venture Capital,2019,,,"Apr 20, 2021",Series,Firebrand Ventures,nja,Sidewalk Labs (Pa,,"3610 W 95th Street; Leawood, KS 66206, US",41%,1%,-1%,-8%,-8 %,-21%,-41%,-10%,88 %,-17%,1,140
UserVoice,"Jul 28, 2025 12.57 PM",UserVoice is a software company that specializes in product feedback manageme,uservoice.com,11-50,,United States,(USA),North Carolina,Raleigh,Venture Capital,2008,9.6,7.5,"Sep 14,2015",Series,nia,nja,LocalGlobe,,"234 Fayetteville St; 3rd Floor; Raleigh, NC 27601,US",2%,-13%,~27%,-32%,,,,,,,1,143
WAR,"Jul 28, 2025 12.57 PM",provides pricing and supply chain solutions: 123N4R is plastic materials supplier that,zhaosuliao.com,201-500,,China,Guangdong,Guangzhou,%e6%89%be%es_,Venture Capital,2014,,,,Series,Horizons Ventures,nja,Zhen Shun Investr,"27,","510000, CN",-3%,42%,3%,15 %,25%,,,,,,1,144
Alleaves,"Jul 28, 2025 12.57 PM",cannabis technology solutions. They provid_ software company specializing in,alleaves.com,51-200,,United States,(USA),Florida,Fort Lauderdale,Venture Capital,2018,,,"Jul 18, 2022",Series,theelevenfund com,Corporate,~theelevenfundcon,,"6750 N Andrews Ave Suite 325; Fort Lauderdale; FL 33309, US",13%,23%,8 %,188 %,136 %,~87%,,,,,1,145
CBX Soitware,"Jul 28, 2025 12.57 PM",software provider that offers TradeBeyond supply chain management ~suite of__,cbxsoftware.com,201-500,161,Hong Kong,SAR,nla,nia,Venture Capital,1995,,,May 2022,Series,Baring Private Equity Asia,nja,Baring Private Equ,,,1%,3%,8 %,,,,,,,,1,146
EaswiaaXTRA,"Jul 28, 2025 12.57 PM",Shanghai Laoqin Information Technology Co Ltd. is a labor management software provide,coho.com,51-200,,China,Shanghai,Shanghai,%e4%b8%8a%e6_,Venture Capital,2014,15.2,14.5,"Dec 17, 2018",Series,China Growth Capital,nja,China Growth Cap,,6041;,12%,22%,,,,,,,,,1,148
Plecto Latinoamerica,"Jul 28, 2025 12.57 PM",performance management solutions through Plecto software company that provides,plecto.com,1-10,,Guatemala,Guatemala,Guatemala,City,Venture Capital,2012,1.5,1.5,"Jun 27, 2019",Series,Nordic Eye Venture,Grow,nja,,"Jun 27, 2019",-44%,,,,,,,,,,1,149
Optera,"Jul 28, 2025 12.57 PM",company that provides solutions for. carbon management software,opteraclimate.com,11-50,,United States,(USA),Colorado,Boulder,Venture Capital,2006,25.7,,"Sep 10, 2023",Series,AngelList,nja,Stout Street Capit:,,"1215 Spruce St; 201; Boulder; Colorado 80302, US",-29%,-25%,-22%,-17%,29%,200%,2%,,,,1,150
ArchiPro,"Jul 28, 2025 12.57 PM",customers with ArchiPro is digital platform that connects wide range products an:,archipro.co,51-200,128,New Zealand,Auckland,Auckland,archipro,Private Equity,2014,38.7,32.6,Mar 2022,Series,Icehouse Ventures,nja,Liger Trading NZ,,"Saint Georges Bay Road; Auckland, AUK, NZ",-3%,10%,-23%,-26%,62%,106%,,,,,1,151
Easyecom,"Jul 28, 2025 12.57 PM",specializing in eCommerce solutions It offer_ EasyEcom is a white-collar service company easyecomio 160 India Karnataka Bengaluru ealsyecom,solutions.it,51-200,160,India,Karnataka,Bengaluru,ealsyecom,Venture Capital,2015,,,Jan 2022,Series,nja,nja,boldbydesign com,,"BLOOMINGDALE LAYOUT, OPPOSITE QUETZEL,",5 %,11%,28%,35%,146%,290%,540%,,,,1,152
Wandelbots,"Jul 28, 2025 12.57 PM",that specializes in robotics software company providing innovative:,wandelbots.com,51-200,115,Germany,Saxony,Dresden,wandelbots,Private Equity,2017,122.2,84,"Jan 24, 2022",Series,83north,nja,SquareOne Ventur,84,"RayskistraBe 25; Dresden, Saxony 01219, DE",0%,3%,9%,-21%,-17%,13%,88 %,~52%,,,1,155
Staffinc Group,"Jul 28, 2025 12.57 PM",Staffinc specializes in labor supply ad HR services_ an outsourcing company that,staffinc.co,51-200,336,Indonesia,Jakarta,Jakarta,staffinc-group,Venture Capital,2018,3.9,3.9,"Aug 31, 2023",Series,Access Ventures,nja,Altara Ventures,24,"Tower; JI H.R Rasuna Said No.13, RT.ZIRW.2, Kuningan,",12%,28%,92%,166 %,,,,,,,1,159
NextBillion.a,"Jul 28, 2025 12.57 PM",specializing in logistics and route optimizati_ NextBillion.ai is a software company,nextbillion.ai,51-200,,Singapore,nla,Singapore,extbillion-ai,Venture Capital,2020,37.3,,"Sep 21, 2022",Series,Microsoft Accelerator,nja,Mirae Assets,,"Straits Vw; Marina South, Singapore 018978, SG",-10%,-16%,-23%,-13%,23%,97%,25%,,,,1,161
Logistics Operating,"Jul 28, 2025 12.57 PM",specializing in supply chain solutions. They__ Grydd logistics software provider,grydd.com,51-200,,United States,(USA),Washington,Seattle,Venture Capital,2018,0.9,,"Jun 30,2024",Series,BDev Ventures,nja,newchip com,,"2815 Elliott Ave; 10O; Seattle, Washington 98121, US",-9%,-6%,6 %,-17%,16 %,93%,480%,,,,1,162
Insite Al,"Jul 28, 2025 12.57 PM",specializing in advanced analytics ad_ Insite Al is an solutions provider,insite.ai,51-200,,United States,(USA),Arkansas,Bentonville,Venture Capital,2019,20.3,,"Oct 10, 2022",Series,AIM,Angel Investors Marll,nla,,"Bentonville, Arkansas 72712, US",3%,8%,8 %,-4%,4%,1%,116 %,318%,,,1,163
Hicx,"Jul 28, 2025 12.57 PM",provider that HICX is a supplier management software specializes enhancing-_,hicx.com,51-200,,United Kingdom,(UK),England,London,Venture Capital,2004,,,"Sep 14, 2022",Series,Wavecrest Growth Partner:,nla,Wavecrest Growth,,"Surrey Quays; 505; London; London SE8 SEN, GB",2%,-4%,-14%,4%,37%,63%,210%,39%,,,1,164
PlatformE,"Jul 28, 2025 12.57 PM","that offers the RIPE SDK, enabling business. Platforme software development company",platforme.com,11-50,,Portugal,Porto,Porto,platforme -,Venture Capital,2016,16.6,,"Oct 27, 2019",Series,nla,Corporate,pmeinvestimentos,,"Rua Sa da Bandeira; 605; Porto, Porto 4000-437, PT",~5%,5%,~15%,-15%,4%,11%,31%,,,,1,165
QueueBuster POS,"Jul 28, 2025 12.57 PM",offers QueueBuster is a technology company that comprehensive point-of-sale (POS)__,queuebuster.co,51-200,104,India,Uttar Pradesh,Noida,queuebuster-co,Venture Capital,2015,,,"Jun 12, 2022",Series,Chiratae Ventures,nla,DMI AIF - The Spa,,"Noida, Uttar Pradesh 201307, IN",41%,-0%,0%,6 %,11%,,,,,,1,166
Sales Layer,"Jul 28, 2025 12.57 PM",Sales Layer = specializes in Product Information. software company that,saleslayer.com,51-200,,Spain,Community,Valencian,Valencia,Venture Capital,2013,30.4,,"Jun 17, 2022",Series,PeakSpan Capita,nla,Swanlaab Venture,,"Luz; Planta 82; Valencia,",2%,4%,16 %,12%,76%,185 %,-26%,,,,1,167
BeyondTrucks,"Jul 28, 2025 12.57 PM",BeyondTrucks is specializes in providing transportation . software company that,beyondtrucks.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2019,,,"Sep 29, 2024",Series,Deep Tech Fund (an Alumn,nla,Pear VC,,"1 Ferry Bldg;; Suite 201; San Francisco, California 94111, US",10%,29%,55%,82%,287%,-59%,,,,,1,169
SourceDay,"Jul 28, 2025 12.57 PM",company that offers software solutions for__ supply chain management,sourceday.com,51-200,,United States,(USA),Texas,Austin,Venture Capital,2013,57.6,31.5,"Feb 14, 2022",Series,Deep Tech Fund (an Alumn,nla,ATX Venture Partn,,"9737 Great Hills Trail; Suite 10O; Austin; Texas 78759,US",-12%,-17%,-20%,-35%,-33%,2%,4%,-23%,,,1,171
Survicate,"Jul 28, 2025 12.57 PM",Survicate is offers tools for collecting and analyzing__. survey software provider that,survicate.com,51-200,,United States,(USA),nla,nla,Private Equity,2013,3.5,2.4,"Jul 19, 2021",Series,Airbridge Equity Partners,nla,SpeedUp Venture,,"ulica Przyrynek 14; Warsaw; MA 00-219, PL",5%,7%,3%,33%,115%,100%,~4%,,,,1,172
Jo,"Jul 28, 2025 12.57 PM",offers cloud-based solutions for businesses. Qoyod an accounting software provider that,qoyod.com,51-200,249,Saudi Arabia,Riyadh,Riyadh,wwyod-,Other Financial,2016,20,,"Dec 28, 2020",Series,Merak Capital,nla,Arzan Venture Car,20,Riyadh; SA,5%,13%,19%,76%,492%,896%,-11%,,,,1,174
Blaze,"Jul 28, 2025 12.57 PM",BLAZE is offers comprehensive suite of solutions fo_ cannabis software provider that,blaze.me,51-200,,United States,(USA),California,Anaheim,Venture Capital,2017,9.5,155,"Mar 30, 2021",Series,Act One Ventures,Corporate,Delta Emerald Ven,155,"Riverview Dr; STE 304; Anaheim; California 92808, US",~2%,2%,-19%,-23%,29%,170%,342%,~15%,,,1,176
Rhim Ewrrtra&,"Jul 28, 2025 12.57 PM",specializes in e-commerce solutions. The_ Kuaidi1oo logistics service provider that,kuaidi1oo.com,,,,,,,Venture Capital,2015,5.8,,"Mar 23, 2017",Series,nla,nla,nla,,"#TR4J); Rtim,r$A 518000,CN",20%,-40%,100%,~21%,,,,,,,1,177
Beroe Inc,"Jul 28, 2025 12.57 PM",Beroe is a procurement intelligence provider that offers Al-powered solutions to help.,beroeinc.com,"501-1,000",796,United States,(USA),North Carolina,Raleigh,Private Equity,2006,84,,May 2016,Series,Access Asset Managers Pr,Corporate,Access Asset Mar,84,"27606, US",1%,4%,10%,24%,35%,47%,56 %,-15%,,,1,178
Kz,"Jul 28, 2025 12.57 PM",Huoban specializes in providing digital solutions for__ software company that,huoban.com,"501-1,000",,China,Beijing,Beijing,%e4%bc%/99%e4_,Private Equity,2012,97.9,,"Dec 15, 2021",Series,Engage Capital,nla,trustbridgepartner,,"shangdisanjie; haidian; Beijing, beijing; CN",6%,9%,5%,~27%,,,,,,,1,179
Calendly,"Jul 28, 2025 12.57 PM",that provides Calendly is scheduling software company platform for automating__,calendly.com,"501-1,000",558,United States,(USA),Georgia,Atlanta,Venture Capital,,350.6,350,"Jan 25, 2021",Series,Iconiq,Corporate,OpenView,350,"271 I7th St NW; IOth Floor; Atlanta, Georgia 30363, US",~5%,-14%,~14%,-19%,6%,100%,253%,4%,,,1,184
Fabric,"Jul 28, 2025 12.57 PM",that provides innovative solutions for retailer__ an automated fulfillment company,getfabric.com,,,,,,,Private Equity,2015,336,200,"Oct 25, 2021",Series,Aliment Capital,nla,Koch Disruptive Te,200,"524 Broadway; New York, New York 10012, US",2%,9%,20%,33%,37%,89%,155%,-26%,,,1,185
Prewave,"Jul 28, 2025 12.57 PM",~company that offers solutions for risk__ supply chain management,prewave.com,201-500,237,Austria,Vienna,Vienna,plewave,Venture Capital,2017,98.1,67.5,"Jun 24,2024",Series,Creandum,nla,Hedosophia,30,"Rothschildplatz 4; 3rd Floor; Vienna, 1020 , AT",33%,7%,26%,119%,438%,085 %,533%,72%,,,1,186
CSEMREENRTJRA,"Jul 28, 2025 12.57 PM",3VJIA is design solutions for the home decoration a__ software company specializing in,3vjia.com,"501-1,000",183,China,Guangdong,Guangzhou,es%bg%bf%ea__,Venture Capital,2013,117.6,,"Jun 18, 2023",Series,FENFWree+TR,nla,FANFW#Z?,,"Cm,CSA510663, CN",39%,0%,~2%,18 %,84%,,,,,,1,188
Vinculum Group,"Jul 28, 2025 12.57 PM",specializing Vinculum Group is omnichannel retail technolog-- SaaS provider,vinculumgroup.com,201-500,550,India,Uttar Pradesh,Noida,Iculumgroup,Venture Capital,2007,,,"Jul 24, 2023",Series,Accel,nla,InnoVen Capital In,,"Sector 62; Noida, Uttar Prades __",~0%,~2%,2%,~6%,6 %,7%,8 %,12%,~24%,,1,189
Aiperia,"Jul 28, 2025 12.57 PM",supply chain optimization for the food__ AIPERIA is a software company specializing in,aiperia.com,51-200,,Germany,nla,nla,planerai,Venture Capital,2021,,,"Apr 17, 2024",Series,Earlybird Venture Capital,nla,LBBW Venture Cal,,"Gitterle 2; GroBrinderfeld, Baden-Wirttemberg 97950, DE",3%,1%,9%,,,,,,,,1,190
Tailor,"Jul 28, 2025 12.57 PM",that specializes Tailor is . software development company customizable ERP _,tailor.tech,11-50,141,United States,(USA),California,San Francisco,Private Equity,2021,26.3,,"May 19, 2025",Series,Anri,nla,Anri,,"San Francisco, CA, US",7%,42%,166 %,540%,466 %,-19%,,,,,1,191
ENXMIETRXTRA&,"Jul 28, 2025 12.57 PM",specializing in digital economy solutions. WelinkData technology service provider Th_.,welinkdata.com,51-200,,China,Shanghai,Shanghai,%e4%b8%8a%e6_.,Venture Capital,2007,9.6,4.5,"Nov 20, 2017",Series,nla,nla,dchien cn,,"200062, CN",~8 %,-8%,-11%,-17%,~32%,,,,,,1,192
Recurrency,"Jul 28, 2025 12.57 PM",specializes ERP automation solutions for__ software company that,recurrency.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2018,22.1,,"Jan 31, 2023",Series,9Yards Capital,nla,Combinator,,"San Francisco, California 94114,US",16 %,19%,61%,51%,35%,212%,16%,,,,1,195
everstox,"Jul 28, 2025 12.57 PM",~everstox is integrated logistics solutions for eCommerc__. logistics company that provides,everstox.com,51-200,,Germany,Bavaria,Munich,~everstox,Venture Capital,2019,22.4,,"Nov 24, 2021",Series,Acton Capital,nla,Acton Capital,,"GanghoferstraBe 68b; Munich, Bavaria 80339, DE",-16%,-12%,-7%,~20%,1%,190%,814%,20%,,,1,196
Burq,"Jul 28, 2025 12.57 PM",Burq is a delivery service company that provides on-demand and same-day delivery__,burqup.com,51-200,,United States,(USA),California,San Francisco,Venture Capital,2021,10.5,10.5,"May 23, 2024",Series,Deep Tech Fund (an Alumn,nla,Bdmi,,"May 23, 2024",5%,8%,8 %,61%,182%,393%,028%,,,,2,3
Activities,"Jul 28, 2025 12.57 PM",BeMyGuest Pte. Ltd. is a technology provider specializing solutions for the travel::.,bemyguest.com,51-200,,Singapore,nla,nla,bumyguest-travel,Venture Capital,2012,,,"Jun 23, 2019",Series,nla,Corporate,Tidesquare,,"Singapore; Singapore, SG",~4%,~8 %,-8%,-10%,~2%,32%,41%,24%,~49%,,2,4
